week,sales
2022-01-03,810.368
2022-01-10,878.229
2022-01-17,910.369
2022-01-24,896.297
2022-01-31,982.912
2022-02-07,975.430
2022-02-14,941.612
2022-02-21,965.807
2022-02-28,951.287
2022-03-07,948.105
2022-03-14,949.593
2022-03-21,985.792
2022-03-28,976.711
2022-04-04,1027.113
2022-04-11,1048.107
2022-04-18,1102.114
2022-04-25,1093.057
2022-05-02,1074.709
2022-05-09,1036.467
2022-05-16,1017.375
2022-05-23,985.247
2022-05-30,938.196
2022-06-06,954.371
2022-06-13,926.468
2022-06-20,808.363
2022-06-27,837.143
2022-07-04,898.757
2022-07-11,901.521
2022-07-18,924.712
2022-07-25,918.253
2022-08-01,955.986
2022-08-08,828.175
2022-08-15,811.669
2022-08-22,844.192
2022-08-29,767.477
2022-09-05,744.409
2022-09-12,700.714
2022-09-19,674.409
2022-09-26,750.453
2022-10-03,779.270
2022-10-10,772.375
2022-10-17,818.113
2022-10-24,857.098
2022-10-31,840.376
2022-11-07,864.702
2022-11-14,862.491
2022-11-21,851.347
2022-11-28,830.772
2022-12-05,870.061
2022-12-12,899.344
2022-12-19,917.170
2022-12-26,929.873
2023-01-02,1029.950
2023-01-09,1046.537
2023-01-16,1134.831
2023-01-23,1111.238
2023-01-30,1191.185
2023-02-06,1169.437
2023-02-13,1128.259
2023-02-20,1146.956
2023-02-27,1149.973
2023-03-06,1155.465
2023-03-13,1127.275
2023-03-20,1144.169
2023-03-27,1212.792
2023-04-03,1225.998
2023-04-10,1277.636
2023-04-17,1314.934
2023-04-24,1250.402
2023-05-01,1299.115
2023-05-08,1304.664
2023-05-15,1224.165
2023-05-22,1168.679
2023-05-29,1177.032
2023-06-05,1131.153
2023-06-12,1131.143
2023-06-19,1087.341
2023-06-26,1057.359
2023-07-03,1108.700
2023-07-10,1108.812
2023-07-17,1149.562
2023-07-24,1125.543
2023-07-31,1051.525
2023-08-07,1033.681
2023-08-14,1057.511
2023-08-21,1011.302
2023-08-28,936.868
2023-09-04,932.485
2023-09-11,937.502
2023-09-18,945.904
2023-09-25,979.716
2023-10-02,991.695
2023-10-09,1014.351
2023-10-16,1038.844
2023-10-23,1098.932
2023-10-30,1009.193
2023-11-06,1071.491
2023-11-13,1068.617
2023-11-20,1015.519
2023-11-27,1063.945
2023-12-04,1040.710
2023-12-11,1106.482
2023-12-18,1111.776
2023-12-25,1182.495
2024-01-01,1252.565
2024-01-08,1281.068
2024-01-15,1290.184
2024-01-22,1305.962
2024-01-29,1424.353
2024-02-05,1374.700
2024-02-12,1353.064
2024-02-19,1368.701
2024-02-26,1350.607
2024-03-04,1380.845
2024-03-11,1365.758
2024-03-18,1385.803
2024-03-25,1393.367
2024-04-01,1462.087
2024-04-08,1447.555
2024-04-15,1520.125
2024-04-22,1553.584
2024-04-29,1453.742
2024-05-06,1401.938
2024-05-13,1459.597
2024-05-20,1477.440
2024-05-27,1332.437
2024-06-03,1294.028
2024-06-10,1329.935
2024-06-17,1280.476
2024-06-24,1294.632
2024-07-01,1309.556
2024-07-08,1346.147
2024-07-15,1322.143
2024-07-22,1336.070
2024-07-29,1303.155
2024-08-05,1252.196
2024-08-12,1229.402
2024-08-19,1170.397
2024-08-26,1164.271
2024-09-02,1106.801
2024-09-09,1099.348
2024-09-16,1183.560
2024-09-23,1159.833
2024-09-30,1190.383
2024-10-07,1240.542
2024-10-14,1241.984
2024-10-21,1268.404
2024-10-28,1297.473
2024-11-04,1292.123
2024-11-11,1240.848
2024-11-18,1291.279
2024-11-25,1244.248
2024-12-02,1236.566
2024-12-09,1261.594
2024-12-16,1311.828
2024-12-23,1419.239
2024-12-30,1388.734
2025-01-06,1482.382
2025-01-13,1460.321
2025-01-20,1559.344
