month,temp_c
2015-01-01,-3.782
2015-02-01,-1.582
2015-03-01,5.036
2015-04-01,9.851
2015-05-01,13.110
2015-06-01,19.486
2015-07-01,20.372
2015-08-01,19.711
2015-09-01,13.230
2015-10-01,9.470
2015-11-01,3.482
2015-12-01,0.718
2016-01-01,-2.380
2016-02-01,-0.520
2016-03-01,1.488
2016-04-01,12.003
2016-05-01,13.021
2016-06-01,21.054
2016-07-01,20.964
2016-08-01,18.716
2016-09-01,14.612
2016-10-01,8.614
2016-11-01,3.896
2016-12-01,-1.064
2017-01-01,-0.741
2017-02-01,-3.088
2017-03-01,3.516
2017-04-01,8.470
2017-05-01,16.491
2017-06-01,17.431
2017-07-01,21.188
2017-08-01,20.265
2017-09-01,13.859
2017-10-01,10.842
2017-11-01,3.894
2017-12-01,0.516
2018-01-01,-1.129
2018-02-01,-1.828
2018-03-01,2.803
2018-04-01,9.536
2018-05-01,16.698
2018-06-01,21.233
2018-07-01,20.988
2018-08-01,19.524
2018-09-01,14.923
2018-10-01,9.199
2018-11-01,3.634
2018-12-01,-0.610
2019-01-01,0.430
2019-02-01,-1.020
2019-03-01,3.654
2019-04-01,10.570
2019-05-01,14.896
2019-06-01,20.010
2019-07-01,22.096
2019-08-01,21.421
2019-09-01,14.541
2019-10-01,11.786
2019-11-01,3.737
2019-12-01,-0.009
2020-01-01,-0.783
2020-02-01,0.621
2020-03-01,5.511
2020-04-01,10.468
2020-05-01,16.256
2020-06-01,21.072
2020-07-01,21.125
2020-08-01,22.189
2020-09-01,15.430
2020-10-01,8.868
2020-11-01,6.868
2020-12-01,-0.136
2021-01-01,-2.975
2021-02-01,2.290
2021-03-01,4.084
2021-04-01,11.774
2021-05-01,15.525
2021-06-01,20.634
2021-07-01,20.534
2021-08-01,18.682
2021-09-01,15.428
2021-10-01,10.526
2021-11-01,5.598
2021-12-01,3.179
2022-01-01,-2.558
2022-02-01,1.519
2022-03-01,3.995
2022-04-01,10.557
2022-05-01,14.983
2022-06-01,19.398
2022-07-01,21.866
2022-08-01,19.781
2022-09-01,16.836
2022-10-01,10.017
2022-11-01,6.381
2022-12-01,0.691
2023-01-01,-0.882
2023-02-01,1.913
2023-03-01,5.582
2023-04-01,10.935
2023-05-01,16.891
2023-06-01,21.267
2023-07-01,24.332
2023-08-01,22.392
2023-09-01,17.519
2023-10-01,12.059
2023-11-01,4.467
2023-12-01,1.361
2024-01-01,-2.535
2024-02-01,2.404
2024-03-01,5.308
2024-04-01,11.440
2024-05-01,17.959
2024-06-01,21.641
2024-07-01,22.975
2024-08-01,23.120
2024-09-01,17.459
2024-10-01,10.241
2024-11-01,5.887
2024-12-01,-1.058
