date,visits
2023-01-01,5047.263
2023-01-02,5507.663
2023-01-03,7202.445
2023-01-04,6275.388
2023-01-05,6654.341
2023-01-06,4570.485
2023-01-07,4370.420
2023-01-08,5283.535
2023-01-09,5798.679
2023-01-10,7257.210
2023-01-11,7220.016
2023-01-12,6216.545
2023-01-13,4291.893
2023-01-14,4343.267
2023-01-15,5293.209
2023-01-16,5792.807
2023-01-17,7621.048
2023-01-18,6912.704
2023-01-19,6414.568
2023-01-20,4239.497
2023-01-21,4839.910
2023-01-22,5314.479
2023-01-23,5987.998
2023-01-24,7674.834
2023-01-25,6899.013
2023-01-26,6665.566
2023-01-27,5063.344
2023-01-28,4306.216
2023-01-29,4921.067
2023-01-30,5614.751
2023-01-31,7867.817
2023-02-01,7268.754
2023-02-02,6823.845
2023-02-03,4813.867
2023-02-04,4852.152
2023-02-05,5507.690
2023-02-06,6031.345
2023-02-07,7956.948
2023-02-08,7036.069
2023-02-09,6530.247
2023-02-10,4774.965
2023-02-11,5330.342
2023-02-12,5325.538
2023-02-13,5883.478
2023-02-14,7677.942
2023-02-15,7639.208
2023-02-16,6654.804
2023-02-17,5122.602
2023-02-18,4488.569
2023-02-19,5874.920
2023-02-20,6487.504
2023-02-21,7539.042
2023-02-22,7509.621
2023-02-23,7091.211
2023-02-24,4886.582
2023-02-25,5279.076
2023-02-26,6258.312
2023-02-27,6368.417
2023-02-28,7894.094
2023-03-01,7348.271
2023-03-02,7018.415
2023-03-03,4883.858
2023-03-04,5052.205
2023-03-05,5705.312
2023-03-06,6528.725
2023-03-07,7763.210
2023-03-08,7223.443
2023-03-09,6312.075
2023-03-10,5296.114
2023-03-11,5178.000
2023-03-12,6171.065
2023-03-13,6425.169
2023-03-14,7904.642
2023-03-15,7785.012
2023-03-16,6960.240
2023-03-17,4740.963
2023-03-18,4995.564
2023-03-19,6291.720
2023-03-20,6571.693
2023-03-21,8249.178
2023-03-22,7650.492
2023-03-23,6860.253
2023-03-24,5329.911
2023-03-25,5242.351
2023-03-26,5711.112
2023-03-27,6499.620
2023-03-28,7967.908
2023-03-29,7815.548
2023-03-30,7362.574
2023-03-31,4944.736
2023-04-01,5671.578
2023-04-02,5779.091
2023-04-03,6615.785
2023-04-04,8028.664
2023-04-05,7755.100
2023-04-06,7133.911
2023-04-07,5086.050
2023-04-08,5178.855
2023-04-09,5815.831
2023-04-10,6410.621
2023-04-11,7882.893
2023-04-12,7781.744
2023-04-13,7258.353
2023-04-14,5457.004
2023-04-15,5550.715
2023-04-16,6633.181
2023-04-17,6728.311
2023-04-18,8193.247
2023-04-19,8346.503
2023-04-20,6926.561
2023-04-21,5501.522
2023-04-22,5178.853
2023-04-23,6135.280
2023-04-24,6183.656
2023-04-25,8558.477
2023-04-26,7864.579
2023-04-27,6971.214
2023-04-28,5703.005
2023-04-29,5632.209
2023-04-30,6080.675
2023-05-01,6511.109
2023-05-02,8343.784
2023-05-03,7883.382
2023-05-04,7413.816
2023-05-05,5501.676
2023-05-06,5291.966
2023-05-07,5949.199
2023-05-08,6581.064
2023-05-09,8033.205
2023-05-10,7791.686
2023-05-11,7224.051
2023-05-12,5488.749
2023-05-13,5802.185
2023-05-14,5896.980
2023-05-15,6863.698
2023-05-16,8270.651
2023-05-17,8468.975
2023-05-18,7244.946
2023-05-19,5450.902
2023-05-20,5246.804
2023-05-21,5904.553
2023-05-22,6783.952
2023-05-23,8292.751
2023-05-24,8044.934
2023-05-25,6872.551
2023-05-26,5496.209
2023-05-27,5260.779
2023-05-28,6542.115
2023-05-29,6665.184
2023-05-30,8666.355
2023-05-31,7610.653
2023-06-01,7372.555
2023-06-02,5110.547
2023-06-03,5365.322
2023-06-04,6118.613
2023-06-05,6658.559
2023-06-06,8458.214
2023-06-07,8146.021
2023-06-08,7427.831
2023-06-09,5309.623
2023-06-10,5144.760
2023-06-11,5909.524
2023-06-12,6686.771
2023-06-13,7859.249
2023-06-14,8144.370
2023-06-15,7201.669
2023-06-16,5265.320
2023-06-17,5719.095
2023-06-18,6273.786
2023-06-19,6786.838
2023-06-20,8135.017
2023-06-21,8029.382
2023-06-22,7343.344
2023-06-23,5101.987
2023-06-24,5737.682
2023-06-25,6228.471
2023-06-26,6233.723
2023-06-27,8410.244
2023-06-28,7629.887
2023-06-29,7535.057
2023-06-30,5519.024
2023-07-01,5194.965
2023-07-02,5874.225
2023-07-03,6745.486
2023-07-04,8313.912
2023-07-05,8321.199
2023-07-06,7430.051
2023-07-07,5240.496
2023-07-08,5609.069
2023-07-09,5581.267
2023-07-10,6791.432
2023-07-11,8584.224
2023-07-12,7889.246
2023-07-13,7061.433
2023-07-14,5446.847
2023-07-15,5948.780
2023-07-16,6135.095
2023-07-17,6428.487
2023-07-18,8723.927
2023-07-19,7459.378
2023-07-20,7360.009
2023-07-21,5155.326
2023-07-22,5687.421
2023-07-23,5867.386
2023-07-24,7035.742
2023-07-25,8433.927
2023-07-26,7493.961
2023-07-27,6737.697
2023-07-28,5219.034
2023-07-29,5775.880
2023-07-30,6109.395
2023-07-31,6719.782
2023-08-01,8298.457
2023-08-02,8109.085
2023-08-03,7324.800
2023-08-04,5367.852
2023-08-05,5206.258
2023-08-06,6375.128
2023-08-07,7044.726
2023-08-08,8033.490
2023-08-09,8501.831
2023-08-10,7413.406
2023-08-11,5178.551
2023-08-12,4979.624
2023-08-13,6246.149
2023-08-14,6847.617
2023-08-15,8214.725
2023-08-16,7484.156
2023-08-17,7519.779
2023-08-18,5159.907
2023-08-19,5344.776
2023-08-20,6800.922
2023-08-21,7248.392
2023-08-22,8610.821
2023-08-23,7827.298
2023-08-24,7410.998
2023-08-25,4747.217
2023-08-26,5500.576
2023-08-27,5911.430
2023-08-28,6407.522
2023-08-29,7989.871
2023-08-30,8086.293
2023-08-31,7285.489
2023-09-01,5372.732
2023-09-02,5700.446
2023-09-03,5906.474
2023-09-04,6437.346
2023-09-05,7959.515
2023-09-06,7889.966
2023-09-07,7472.690
2023-09-08,5315.668
2023-09-09,5671.101
2023-09-10,5844.447
2023-09-11,6651.432
2023-09-12,8235.354
2023-09-13,7685.668
2023-09-14,7772.289
2023-09-15,5591.606
2023-09-16,5346.696
2023-09-17,5975.321
2023-09-18,6782.319
2023-09-19,8095.025
2023-09-20,8136.218
2023-09-21,7014.163
2023-09-22,5317.070
2023-09-23,5312.858
2023-09-24,6079.592
2023-09-25,6497.373
2023-09-26,8096.695
2023-09-27,7820.908
2023-09-28,7203.724
2023-09-29,5372.783
2023-09-30,5623.962
2023-10-01,6619.757
2023-10-02,7072.532
2023-10-03,8466.810
2023-10-04,8284.887
2023-10-05,7243.295
2023-10-06,5851.251
2023-10-07,5787.536
2023-10-08,5943.353
2023-10-09,7103.423
2023-10-10,8779.992
2023-10-11,7478.768
2023-10-12,7276.080
2023-10-13,5419.079
2023-10-14,5217.267
2023-10-15,6065.565
2023-10-16,6728.350
2023-10-17,8754.420
2023-10-18,8277.771
2023-10-19,8172.943
2023-10-20,5493.070
2023-10-21,6042.604
2023-10-22,6407.769
2023-10-23,7089.662
2023-10-24,8395.018
2023-10-25,7782.994
2023-10-26,7383.455
2023-10-27,5841.794
2023-10-28,6210.384
2023-10-29,6600.205
2023-10-30,7208.408
2023-10-31,8537.894
2023-11-01,8707.698
2023-11-02,7975.339
2023-11-03,5583.423
2023-11-04,5868.695
2023-11-05,6266.519
2023-11-06,7517.676
2023-11-07,8916.915
2023-11-08,8368.796
2023-11-09,7810.240
2023-11-10,5896.095
2023-11-11,5847.895
2023-11-12,6276.286
2023-11-13,6901.740
2023-11-14,8453.184
2023-11-15,8580.963
2023-11-16,8336.866
2023-11-17,5435.507
2023-11-18,6060.286
2023-11-19,6764.969
2023-11-20,7052.655
2023-11-21,9015.597
2023-11-22,8268.700
2023-11-23,8160.175
2023-11-24,5790.105
2023-11-25,6129.784
2023-11-26,6912.740
2023-11-27,7271.330
2023-11-28,8597.160
2023-11-29,8491.091
2023-11-30,8132.276
2023-12-01,5999.456
2023-12-02,6244.472
2023-12-03,6554.406
2023-12-04,7497.851
2023-12-05,9310.692
2023-12-06,8717.109
2023-12-07,8503.019
2023-12-08,6053.514
2023-12-09,6011.932
2023-12-10,6505.695
2023-12-11,7835.996
2023-12-12,9200.179
2023-12-13,9047.505
2023-12-14,8227.342
2023-12-15,6598.936
2023-12-16,6676.278
2023-12-17,6903.470
2023-12-18,7704.467
2023-12-19,9574.517
2023-12-20,8574.046
2023-12-21,8564.326
2023-12-22,6584.539
2023-12-23,6694.543
2023-12-24,7036.855
2023-12-25,7800.917
2023-12-26,9113.392
2023-12-27,8987.210
2023-12-28,8144.527
2023-12-29,6393.051
2023-12-30,6415.110
2023-12-31,7248.066
